"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: HL7 v2 Mapping","Mapping: RIM Mapping","Mapping: ServD","Mapping: FiveWs Pattern Mapping"
"Organization.identifier:cnes.assigner.identifier","Organization.identifier.assigner.identifier","","","",0,1,"","","Y","Identifier {[]} {[]}
","Referência lógica, quando a referência literal não é conhecida","Referência lógica, quando a referência literal não é conhecida","When an identifier is provided in place of a reference, any system processing the reference will only be able to resolve the identifier to a reference if it understands the business context in which the identifier is used. Sometimes this is global (e.g. a national identifier) but often it is not. For this reason, none of the useful mechanisms described for working with references (e.g. chaining, includes) are possible, nor should servers be expected to be able resolve the reference. Servers may accept an identifier based reference untouched, resolve it, and/or reject it - see CapabilityStatement.rest.resource.referencePolicy. 

When both an identifier and a literal reference are provided, the literal reference is preferred. Applications processing the resource are allowed - but not required - to check that the identifier matches the literal reference

Applications converting a logical reference to a literal reference may choose to leave the logical reference present, or remove it.

Reference is intended to point to a structure that can potentially be expressed as a FHIR resource, though there is no need for it to exist as an actual FHIR resource instance - except in as much as an application wishes to actual find the target of the reference. The content referred to be the identifier must meet the logical constraints implied by any limitations on what resource types are permitted for the reference.  For example, it would not be legitimate to send the identifier for a drug prescription if the type were Reference(Observation|DiagnosticReport).  One of the use-cases for Reference.identifier is the situation where no FHIR representation exists (where the type is Reference (Any).","","","","","","","","",,,,,"",,,,"Reference.identifier",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".identifier"
"Organization.identifier:cnes.assigner.display","Organization.identifier.assigner.display","","","",0,1,"","","Y","string {[]} {[]}
","Nome da entidade que atribuiu o identificador da organização","Nome da entidade que atribuiu o identificador da organização","This is generally not the same as the Resource.text of the referenced resource.  The purpose is to identify what's being referenced, not to fully describe it.","","","","","","","","",,,,,"",,,,"Reference.display",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Organization.identifier:cpf","Organization.identifier","cpf","","",0,1,"","","Y","Identifier {[]} {[]}
","Identificador do estabelecimento (CPF)","Identificador do estabelecimento","","Organizations are known by a variety of ids. Some institutions maintain several, and most collect identifiers for exchange with other organizations concerning the organization.","","","","","","","",,,,,"",,,,"Organization.identifier",0,*,"org-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","XON.10 / XON.3",".scopes[Role](classCode=IDENT)","./Identifiers","FiveWs.identifier"
"Organization.identifier:cpf.id","Organization.identifier.id","","","",0,1,"","","","string {[]} {[]}
","Id lógico do identificador do estabelecimento","Id lógico do identificador do estabelecimento","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Organization.identifier:cpf.extension","Organization.identifier.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extensões do identificador do estabelecimento","Extensões incluídas no identificador do estabelecimento","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Organization.identifier:cpf.use","Organization.identifier.use","","","",0,1,"","Y","Y","code {[]} {[]}
","Uso do identificador do estabelecimento","usual: identificador usual do estabelecimento. official: identificador oficial do estabelecimento. temp: identificador temporário do estabelecimento. secondary: identificador secundário do estabelecimento","Applications can assume that an identifier is permanent unless it explicitly says that it is temporary.","Allows the appropriate identifier for a particular context of use to be selected from among a set of identifiers.","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""official""/>","","","","",,"required","Identifies the purpose for this identifier, if known .","http://hl7.org/fhir/ValueSet/identifier-use|4.0.1","",,,,"Identifier.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A","Role.code or implied by context"
"Organization.identifier:cpf.type","Organization.identifier.type","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Tipo do identificador do estabelecimento","Código que representa o tipo do identificador do estabelecimento","This element deals only with general categories of identifiers.  It SHOULD not be used for codes that correspond 1..1 with the Identifier.system. Some identifiers may fall into multiple categories due to common usage.   Where the system is known, a type is unnecessary because the type is always part of the system definition. However systems often need to handle identifiers where the system is not known. There is not a 1:1 relationship between type and system, since many different systems have the same type.","Allows users to make use of identifiers when the identifier system is not known.","","","","","","","",,"required","Tipo do identificador do estabelecimento","http://hl7.org/fhir/ValueSet/identifier-type","",,,,"Identifier.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","CX.5","Role.code or implied by context"
"Organization.identifier:cpf.type.id","Organization.identifier.type.id","","","",0,1,"","","","string {[]} {[]}
","Id lógico do tipo do identificador do estabelecimento","Id lógico do tipo do identificador do estabelecimento","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Organization.identifier:cpf.type.extension","Organization.identifier.type.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extensões do tipo do identificador do estabelecimento","Extensões incluídas no tipo do identificador do estabelecimento","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Organization.identifier:cpf.type.coding","Organization.identifier.type.coding","","","",1,1,"","","Y","Coding {[]} {[]}
","Codificação do tipo do identificador do estabelecimento","Codificação que representa o tipo do identificador do estabelecimento","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","C*E.1-8, C*E.10-22","union(., ./translation)"
"Organization.identifier:cpf.type.coding.id","Organization.identifier.type.coding.id","","","",0,1,"","","","string {[]} {[]}
","Id lógico da codificação do tipo do identificador do estabelecimento","Id lógico da codificação do tipo do identificador do estabelecimento","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Organization.identifier:cpf.type.coding.extension","Organization.identifier.type.coding.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extensões da codificação do tipo do identificador do estabelecimento","Extensões incluídas na codificação do tipo do identificador do estabelecimento","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Organization.identifier:cpf.type.coding.system","Organization.identifier.type.coding.system","","","",1,1,"","","Y","uri {[]} {[]}
","Sistema da codificação do tipo do identificador do estabelecimento","Sistema que identifica a codificação do tipo do identificador do estabelecimento","The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should reference to some definition that establishes the system clearly and unambiguously.","Need to be unambiguous about the source of the definition of the symbol.","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://terminology.hl7.org/CodeSystem/v2-0203""/>","","","","",,,,,"",,,,"Coding.system",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","C*E.3","./codeSystem"
"Organization.identifier:cpf.type.coding.version","Organization.identifier.type.coding.version","","","",0,1,"","","Y","string {[]} {[]}
","Versão da codificação do tipo do identificador do estabelecimento","Versão da codificação do tipo do identificador do estabelecimento","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.","","","","","","","","",,,,,"",,,,"Coding.version",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","C*E.7","./codeSystemVersion"
"Organization.identifier:cpf.type.coding.code","Organization.identifier.type.coding.code","","","",1,1,"","","Y","code {[]} {[]}
","Código da codificação do tipo do identificador do estabelecimento","Código que representa a codificação do tipo do identificador do estabelecimento","","Need to refer to a particular code in the system.","","","","","","","",,,,,"",,,,"Coding.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","C*E.1","./code"
"Organization.identifier:cpf.type.coding.display","Organization.identifier.type.coding.display","","","",0,1,"","","Y","string {[]} {[]}
","Texto da codificação do tipo do identificador do estabelecimento","Texto que representa a codificação do tipo do identificador do estabelecimento","","Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.","","","","","","","",,,,,"",,,,"Coding.display",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","C*E.2 - but note this is not well followed","CV.displayName"
"Organization.identifier:cpf.type.coding.userSelected","Organization.identifier.type.coding.userSelected","","","",0,1,"","","Y","boolean {[]} {[]}
","Seleção do usuário da codificação do tipo do identificador do estabelecimento","Indica se a codificação do tipo do identificador do estabelecimento foi selecionada pelo usuário","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.","This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.","","","","","","","",,,,,"",,,,"Coding.userSelected",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Sometimes implied by being first","CD.codingRationale"
"Organization.identifier:cpf.type.text","Organization.identifier.type.text","","","",0,1,"","","Y","string {[]} {[]}
","Texto do tipo do identificador do estabelecimento","Texto que representa o tipo do identificador do estabelecimento","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","C*E.9. But note many systems use C*E.2 for this","./originalText[mediaType/code=""text/plain""]/data"
"Organization.identifier:cpf.system","Organization.identifier.system","","","",1,1,"","","Y","uri {[]} {[]}
","Sistema do identificador do estabelecimento","Sistema que identifica o tipo do identificador do estabelecimento","Identifier.system is always case sensitive.","There are many sets  of identifiers.  To perform matching of two identifiers, we need to know what set we're dealing with. The system identifies a particular set of unique identifiers.","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""https://saude.gov.br/fhir/sid/cpf""/>","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://www.acme.com/identifiers/patient""/>","","",,,,,"",,,,"Identifier.system",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","CX.4 / EI-2-4","II.root or Role.id.root","./IdentifierType"
"Organization.identifier:cpf.value","Organization.identifier.value","","","",1,1,"","","Y","string {[]} {[]}
","Valor do identificador do estabelecimento","Valor do identificador do estabelecimento","If the value is a full URI, then the system SHALL be urn:ietf:rfc:3986.  The value's primary purpose is computational mapping.  As a result, it may be normalized for comparison purposes (e.g. removing non-significant whitespace, dashes, etc.)  A value formatted for human display can be conveyed using the [Rendered Value extension](http://hl7.org/fhir/R4/extension-rendered-value.html). Identifier.value is to be treated as case sensitive unless knowledge of the Identifier.system allows the processer to be confident that non-case-sensitive processing is safe.","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""123456""/>","","",,,,,"",,,,"Identifier.value",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","CX.1 / EI.1","II.extension or II.root if system indicates OID or GUID (Or Role.id.extension or root)","./Value"
"Organization.identifier:cpf.period","Organization.identifier.period","","","",0,1,"","","Y","Period {[]} {[]}
","Período de uso do identificador do estabelecimento","Período de tempo durante o qual o identificador do estabelecimento foi utilizado","","","","","","","","","",,,,,"",,,,"Identifier.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","CX.7 + CX.8","Role.effectiveTime or implied by context","./StartDate and ./EndDate"
"Organization.identifier:cpf.assigner","Organization.identifier.assigner","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[https://br-core.saude.gov.br/fhir/StructureDefinition/br-core-organization]]}
","Referência à organização que atribuiu o identificador ao estabelecimento","Referência à organização que atribuiu o identificador ao estabelecimento","The Identifier.assigner may omit the .reference element and only contain a .display element reflecting the name or other textual information about the assigning organization.","","","","","","","","",,,,,"",,,,"Identifier.assigner",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","CX.4 / (CX.4,CX.9,CX.10)","II.assigningAuthorityName but note that this is an improper use by the definition of the field.  Also Role.scoper","./IdentifierIssuingAuthority"
"Organization.identifier:cpf.assigner.id","Organization.identifier.assigner.id","","","",0,1,"","","","string {[]} {[]}
","Identificador único para referência cruzada","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Organization.identifier:cpf.assigner.extension","Organization.identifier.assigner.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extensões adicionais definidas pela implementação","Extensões adicionais definidas pela implementação","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Organization.identifier:cpf.assigner.reference","Organization.identifier.assigner.reference","","","",0,1,"","","Y","string {[]} {[]}
","Referência literal, URL relativa, interna ou absoluta","Referência literal, URL relativa, interna ou absoluta","Using absolute URLs provides a stable scalable approach suitable for a cloud/web context, while using relative/logical references provides a flexible approach suitable for use when trading across closed eco-system boundaries.   Absolute URLs do not need to point to a FHIR RESTful server, though this is the preferred approach. If the URL conforms to the structure ""/[type]/[id]"" then it should be assumed that the reference is to a FHIR RESTful server.","","","","","","","","",,,,,"",,,,"Reference.reference",0,1,"ref-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Organization.identifier:cpf.assigner.type","Organization.identifier.assigner.type","","","",0,1,"","","Y","uri {[]} {[]}
","Tipo referenciado (p. ex. br-core-patient)","Tipo referenciado (p. ex. br-core-patient)","This element is used to indicate the type of  the target of the reference. This may be used which ever of the other elements are populated (or not). In some cases, the type of the target may be determined by inspection of the reference (e.g. a RESTful URL) or by resolving the target of the reference; if both the type and a reference is provided, the reference SHALL resolve to a resource of the same type as that specified.","","","","","","","","",,"extensible","Aa resource (or, for logical models, the URI of the logical model).","http://hl7.org/fhir/ValueSet/resource-types|4.0.1","",,,,"Reference.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Organization.identifier:cpf.assigner.identifier","Organization.identifier.assigner.identifier","","","",0,1,"","","Y","Identifier {[]} {[]}
","Referência lógica, quando a referência literal não é conhecida","Referência lógica, quando a referência literal não é conhecida","When an identifier is provided in place of a reference, any system processing the reference will only be able to resolve the identifier to a reference if it understands the business context in which the identifier is used. Sometimes this is global (e.g. a national identifier) but often it is not. For this reason, none of the useful mechanisms described for working with references (e.g. chaining, includes) are possible, nor should servers be expected to be able resolve the reference. Servers may accept an identifier based reference untouched, resolve it, and/or reject it - see CapabilityStatement.rest.resource.referencePolicy. 

When both an identifier and a literal reference are provided, the literal reference is preferred. Applications processing the resource are allowed - but not required - to check that the identifier matches the literal reference

Applications converting a logical reference to a literal reference may choose to leave the logical reference present, or remove it.

Reference is intended to point to a structure that can potentially be expressed as a FHIR resource, though there is no need for it to exist as an actual FHIR resource instance - except in as much as an application wishes to actual find the target of the reference. The content referred to be the identifier must meet the logical constraints implied by any limitations on what resource types are permitted for the reference.  For example, it would not be legitimate to send the identifier for a drug prescription if the type were Reference(Observation|DiagnosticReport).  One of the use-cases for Reference.identifier is the situation where no FHIR representation exists (where the type is Reference (Any).","","","","","","","","",,,,,"",,,,"Reference.identifier",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
",".identifier"
"Organization.identifier:cpf.assigner.display","Organization.identifier.assigner.display","","","",0,1,"","","Y","string {[]} {[]}
","Nome da entidade que atribuiu o identificador da organização","Nome da entidade que atribuiu o identificador da organização","This is generally not the same as the Resource.text of the referenced resource.  The purpose is to identify what's being referenced, not to fully describe it.","","","","","","","","",,,,,"",,,,"Reference.display",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Organization.identifier:cnpj","Organization.identifier","cnpj","","",0,1,"Y","","Y","Identifier {[]} {[]}
","CNPJ do laboratório, quando aplicável","Identificador do estabelecimento","","Organizations are known by a variety of ids. Some institutions maintain several, and most collect identifiers for exchange with other organizations concerning the organization.","","","","","","","",,,,,"",,,,"Organization.identifier",0,*,"org-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","XON.10 / XON.3",".scopes[Role](classCode=IDENT)","./Identifiers","FiveWs.identifier"
"Organization.identifier:cnpj.id","Organization.identifier.id","","","",0,1,"","","","string {[]} {[]}
","Id lógico do identificador do estabelecimento","Id lógico do identificador do estabelecimento","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Organization.identifier:cnpj.extension","Organization.identifier.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extensões do identificador do estabelecimento","Extensões incluídas no identificador do estabelecimento","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Organization.identifier:cnpj.use","Organization.identifier.use","","","",0,1,"","Y","Y","code {[]} {[]}
","Uso do identificador do estabelecimento","usual: identificador usual do estabelecimento. official: identificador oficial do estabelecimento. temp: identificador temporário do estabelecimento. secondary: identificador secundário do estabelecimento","Applications can assume that an identifier is permanent unless it explicitly says that it is temporary.","Allows the appropriate identifier for a particular context of use to be selected from among a set of identifiers.","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""official""/>","","","","",,"required","Identifies the purpose for this identifier, if known .","http://hl7.org/fhir/ValueSet/identifier-use|4.0.1","",,,,"Identifier.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A","Role.code or implied by context"
"Organization.identifier:cnpj.type","Organization.identifier.type","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Tipo do identificador do estabelecimento","Código que representa o tipo do identificador do estabelecimento","This element deals only with general categories of identifiers.  It SHOULD not be used for codes that correspond 1..1 with the Identifier.system. Some identifiers may fall into multiple categories due to common usage.   Where the system is known, a type is unnecessary because the type is always part of the system definition. However systems often need to handle identifiers where the system is not known. There is not a 1:1 relationship between type and system, since many different systems have the same type.","Allows users to make use of identifiers when the identifier system is not known.","","","","","","","",,"required","Tipo do identificador do estabelecimento","http://hl7.org/fhir/ValueSet/identifier-type","",,,,"Identifier.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","CX.5","Role.code or implied by context"
